Identity Motives,Tagging
fair,meaning
love,meaning
thank,meaning
gift,meaning
happy,meaning
respect,meaning
think,meaning
together,belonging
altogether,belonging
jointly,belonging
go,belonging
held,belonging
belong,belonging
own,belonging
history,continuity
ever,continuity
always,continuity
memory,continuity
remember,continuity
persistence,continuity
continue,continuity
anticipate,efficacy
forsee,efficacy
knew,efficacy
say,efficacy
energy,efficacy
predict,efficacy
efficacy,efficacy
proud,selfEsteem
courage,selfEsteem
assert,selfEsteem
dominate,selfEsteem
statisfy,selfEsteem
superbia,selfEsteem
morale,selfEsteem